Sample,source,community,days,filtered
SRR9954049,bittleston_M01,bittleston_M01_unfiltered,12,unfiltered
SRR9954050,bittleston_M09,bittleston_M09_unfiltered,6,unfiltered
SRR9954051,bittleston_M09,bittleston_M09_filtered,9,filtered
SRR9954054,bittleston_M03,bittleston_M03_unfiltered,54,unfiltered
SRR9954056,bittleston_M03,bittleston_M03_unfiltered,51,unfiltered
SRR9954058,bittleston_M03,bittleston_M03_unfiltered,60,unfiltered
SRR9954060,bittleston_M03,bittleston_M03_unfiltered,57,unfiltered
SRR9954061,bittleston_M03,bittleston_M03_filtered,60,filtered
SRR9954063,bittleston_M04,bittleston_M04_filtered,0,filtered
SRR9954065,bittleston_M06,bittleston_M06_filtered,36,filtered
SRR9954066,bittleston_M06,bittleston_M06_unfiltered,36,unfiltered
SRR9954068,bittleston_M06,bittleston_M06_unfiltered,33,unfiltered
SRR9954070,bittleston_M06,bittleston_M06_unfiltered,30,unfiltered
SRR9954072,bittleston_M06,bittleston_M06_unfiltered,27,unfiltered
SRR9954074,bittleston_M06,bittleston_M06_unfiltered,24,unfiltered
SRR9954076,bittleston_M03,bittleston_M03_filtered,36,filtered
SRR9954078,bittleston_M01,bittleston_M01_filtered,39,filtered
SRR9954080,bittleston_M01,bittleston_M01_filtered,42,filtered
SRR9954082,bittleston_M01,bittleston_M01_filtered,33,filtered
SRR9954084,bittleston_M01,bittleston_M01_filtered,36,filtered
SRR9954085,bittleston_M01,bittleston_M01_unfiltered,42,unfiltered
SRR9954087,bittleston_M03,bittleston_M03_unfiltered,21,unfiltered
SRR9954089,bittleston_M10,bittleston_M10_filtered,21,filtered
SRR9954090,bittleston_M08,bittleston_M08_filtered,12,filtered
SRR9953691,bittleston_M01,bittleston_M01_unfiltered,3,unfiltered
SRR9953693,bittleston_M01,bittleston_M01_filtered,3,filtered
SRR9953694,bittleston_M01,bittleston_M01_filtered,0,filtered
SRR9953696,bittleston_M01,bittleston_M01_unfiltered,9,unfiltered
SRR9953698,bittleston_M01,bittleston_M01_filtered,9,filtered
SRR9953700,bittleston_M07,bittleston_M07_unfiltered,21,unfiltered
SRR9953701,bittleston_M07,bittleston_M07_filtered,24,filtered
SRR9953703,bittleston_M07,bittleston_M07_filtered,21,filtered
SRR9953705,bittleston_M05,bittleston_M05_unfiltered,9,unfiltered
SRR9953707,bittleston_M07,bittleston_M07_filtered,27,filtered
SRR9953709,bittleston_M05,bittleston_M05_unfiltered,3,unfiltered
SRR9953711,bittleston_M05,bittleston_M05_unfiltered,6,unfiltered
SRR9953714,bittleston_M05,bittleston_M05_filtered,3,filtered
SRR9953715,bittleston_M05,bittleston_M05_filtered,0,filtered
SRR9953717,bittleston_M10,bittleston_M10_unfiltered,33,unfiltered
SRR9953719,bittleston_M05,bittleston_M05_filtered,15,filtered
SRR9953721,bittleston_M05,bittleston_M05_filtered,18,filtered
SRR9953723,bittleston_M05,bittleston_M05_filtered,21,filtered
SRR9953725,bittleston_M05,bittleston_M05_filtered,24,filtered
SRR9953728,bittleston_M02,bittleston_M02_unfiltered,24,unfiltered
SRR9953730,bittleston_M02,bittleston_M02_unfiltered,18,unfiltered
SRR9953732,bittleston_M02,bittleston_M02_unfiltered,21,unfiltered
SRR9953734,bittleston_M02,bittleston_M02_unfiltered,12,unfiltered
SRR9953739,bittleston_M09,bittleston_M09_unfiltered,15,unfiltered
SRR9953740,bittleston_M09,bittleston_M09_filtered,21,filtered
SRR9953744,bittleston_M09,bittleston_M09_filtered,15,filtered
SRR9953746,bittleston_M07,bittleston_M07_unfiltered,54,unfiltered
SRR9953748,bittleston_M07,bittleston_M07_unfiltered,57,unfiltered
SRR9953752,bittleston_M07,bittleston_M07_unfiltered,51,unfiltered
SRR9953753,bittleston_M07,bittleston_M07_filtered,54,filtered
SRR9953754,bittleston_M04,bittleston_M04_unfiltered,3,unfiltered
SRR9953755,bittleston_M04,bittleston_M04_filtered,3,filtered
SRR9953757,bittleston_M04,bittleston_M04_filtered,6,filtered
SRR9953759,bittleston_M04,bittleston_M04_filtered,9,filtered
SRR9953761,bittleston_M04,bittleston_M04_filtered,12,filtered
SRR9953764,bittleston_M05,bittleston_M05_filtered,42,filtered
SRR9953766,bittleston_M09,bittleston_M09_unfiltered,63,unfiltered
SRR9953768,bittleston_M05,bittleston_M05_filtered,33,filtered
SRR9953771,bittleston_M09,bittleston_M09_unfiltered,54,unfiltered
SRR9953772,bittleston_M09,bittleston_M09_filtered,57,filtered
SRR9953773,bittleston_M06,bittleston_M06_unfiltered,21,unfiltered
SRR9953774,bittleston_M10,bittleston_M10_filtered,0,filtered
SRR9953776,bittleston_M09,bittleston_M09_filtered,63,filtered
SRR9953778,bittleston_M06,bittleston_M06_filtered,15,filtered
SRR9953780,bittleston_M06,bittleston_M06_filtered,18,filtered
SRR9953781,bittleston_M06,bittleston_M06_unfiltered,9,unfiltered
SRR9953783,bittleston_M06,bittleston_M06_unfiltered,12,unfiltered
SRR9953785,bittleston_M04,bittleston_M04_unfiltered,24,unfiltered
SRR9953787,bittleston_M04,bittleston_M04_unfiltered,27,unfiltered
SRR9953788,bittleston_M04,bittleston_M04_filtered,18,filtered
SRR9953789,bittleston_M04,bittleston_M04_unfiltered,18,unfiltered
SRR9953791,bittleston_M04,bittleston_M04_unfiltered,21,unfiltered
SRR9953794,bittleston_M01,bittleston_M01_filtered,18,filtered
SRR9953796,bittleston_M01,bittleston_M01_filtered,21,filtered
SRR9953797,bittleston_M01,bittleston_M01_unfiltered,18,unfiltered
SRR9953799,bittleston_M01,bittleston_M01_unfiltered,21,unfiltered
SRR9953801,bittleston_M01,bittleston_M01_unfiltered,24,unfiltered
SRR9953803,bittleston_M01,bittleston_M01_unfiltered,27,unfiltered
SRR9953805,bittleston_M08,bittleston_M08_filtered,27,filtered
SRR9953810,bittleston_M08,bittleston_M08_unfiltered,21,unfiltered
SRR9953811,bittleston_M08,bittleston_M08_filtered,21,filtered
SRR9953812,bittleston_M08,bittleston_M08_unfiltered,24,unfiltered
SRR9953813,bittleston_M08,bittleston_M08_filtered,24,filtered
SRR9953814,bittleston_M05,bittleston_M05_filtered,12,filtered
SRR9953820,bittleston_M02,bittleston_M02_filtered,57,filtered
SRR9953822,bittleston_M03,bittleston_M03_filtered,0,filtered
SRR9953824,bittleston_M02,bittleston_M02_filtered,63,filtered
SRR9953826,bittleston_M07,bittleston_M07_unfiltered,30,unfiltered
SRR9953828,bittleston_M10,bittleston_M10_unfiltered,27,unfiltered
SRR9953830,bittleston_M10,bittleston_M10_unfiltered,30,unfiltered
SRR9953832,bittleston_M10,bittleston_M10_unfiltered,21,unfiltered
SRR9953834,bittleston_M10,bittleston_M10_unfiltered,24,unfiltered
SRR9953835,bittleston_M10,bittleston_M10_filtered,24,filtered
SRR9953837,bittleston_M09,bittleston_M09_filtered,33,filtered
SRR9953839,bittleston_M09,bittleston_M09_filtered,36,filtered
SRR9953841,bittleston_M09,bittleston_M09_filtered,27,filtered
SRR9953843,bittleston_M09,bittleston_M09_filtered,30,filtered
SRR9953845,bittleston_M07,bittleston_M07_filtered,6,filtered
SRR9953847,bittleston_M07,bittleston_M07_filtered,9,filtered
SRR9953850,bittleston_M07,bittleston_M07_unfiltered,9,unfiltered
SRR9953852,bittleston_M07,bittleston_M07_unfiltered,12,unfiltered
SRR9953854,bittleston_M07,bittleston_M07_unfiltered,15,unfiltered
SRR9953855,bittleston_M03,bittleston_M03_unfiltered,24,unfiltered
SRR9953856,bittleston_M03,bittleston_M03_filtered,27,filtered
SRR9953858,bittleston_M03,bittleston_M03_filtered,30,filtered
SRR9953861,bittleston_M05,bittleston_M05_unfiltered,63,unfiltered
SRR9953863,bittleston_M06,bittleston_M06_filtered,3,filtered
SRR9953865,bittleston_M05,bittleston_M05_unfiltered,57,unfiltered
SRR9953866,bittleston_M05,bittleston_M05_filtered,60,filtered
SRR9953867,bittleston_M05,bittleston_M05_unfiltered,60,unfiltered
SRR9953870,bittleston_M05,bittleston_M05_unfiltered,36,unfiltered
SRR9953872,bittleston_M05,bittleston_M05_unfiltered,33,unfiltered
SRR9953880,bittleston_M02,bittleston_M02_filtered,6,filtered
SRR9953882,bittleston_M02,bittleston_M02_filtered,3,filtered
SRR9953884,bittleston_M01,bittleston_M01_unfiltered,63,unfiltered
SRR9953885,bittleston_M02,bittleston_M02_filtered,0,filtered
SRR9953886,bittleston_M01,bittleston_M01_unfiltered,60,unfiltered
SRR9953887,bittleston_M01,bittleston_M01_filtered,63,filtered
SRR9953889,bittleston_M08,bittleston_M08_unfiltered,30,unfiltered
SRR9953892,bittleston_M08,bittleston_M08_filtered,36,filtered
SRR9953896,bittleston_M07,bittleston_M07_filtered,39,filtered
SRR9953899,bittleston_M07,bittleston_M07_unfiltered,33,unfiltered
SRR9953901,bittleston_M07,bittleston_M07_unfiltered,42,unfiltered
SRR9953903,bittleston_M07,bittleston_M07_unfiltered,39,unfiltered
SRR9953905,bittleston_M08,bittleston_M08_unfiltered,42,unfiltered
SRR9953907,bittleston_M07,bittleston_M07_filtered,3,filtered
SRR9953909,bittleston_M10,bittleston_M10_filtered,9,filtered
SRR9953911,bittleston_M10,bittleston_M10_filtered,12,filtered
SRR9953913,bittleston_M10,bittleston_M10_filtered,15,filtered
SRR9953915,bittleston_M06,bittleston_M06_unfiltered,54,unfiltered
SRR9953917,bittleston_M06,bittleston_M06_unfiltered,57,unfiltered
SRR9953920,bittleston_M06,bittleston_M06_filtered,63,filtered
SRR9953922,bittleston_M04,bittleston_M04_unfiltered,36,unfiltered
SRR9953923,bittleston_M04,bittleston_M04_filtered,36,filtered
SRR9953925,bittleston_M04,bittleston_M04_filtered,33,filtered
SRR9953927,bittleston_M04,bittleston_M04_filtered,42,filtered
SRR9953929,bittleston_M04,bittleston_M04_filtered,39,filtered
SRR9953931,bittleston_M04,bittleston_M04_filtered,45,filtered
SRR9953933,bittleston_M02,bittleston_M02_filtered,51,filtered
SRR9953935,bittleston_M02,bittleston_M02_filtered,48,filtered
SRR9953937,bittleston_M02,bittleston_M02_filtered,45,filtered
SRR9953940,bittleston_M02,bittleston_M02_unfiltered,54,unfiltered
SRR9953942,bittleston_M09,bittleston_M09_filtered,54,filtered
SRR9953945,bittleston_M09,bittleston_M09_unfiltered,42,unfiltered
SRR9953946,bittleston_M09,bittleston_M09_filtered,42,filtered
SRR9953948,bittleston_M09,bittleston_M09_filtered,51,filtered
SRR9953950,bittleston_M09,bittleston_M09_filtered,48,filtered
SRR9954011,bittleston_M07,bittleston_M07_filtered,51,filtered
SRR9954013,bittleston_M06,bittleston_M06_unfiltered,48,unfiltered
SRR9954018,bittleston_M06,bittleston_M06_filtered,42,filtered
SRR9954020,bittleston_M06,bittleston_M06_filtered,39,filtered
SRR9954023,bittleston_M04,bittleston_M04_filtered,54,filtered
SRR9954024,bittleston_M04,bittleston_M04_unfiltered,54,unfiltered
SRR9954026,bittleston_M04,bittleston_M04_unfiltered,51,unfiltered
SRR9954028,bittleston_M06,bittleston_M06_filtered,51,filtered
SRR9954030,bittleston_M02,bittleston_M02_unfiltered,27,unfiltered
SRR9954032,bittleston_M02,bittleston_M02_unfiltered,30,unfiltered
SRR9954034,bittleston_M02,bittleston_M02_unfiltered,33,unfiltered
SRR9954037,bittleston_M02,bittleston_M02_filtered,39,filtered
SRR9954038,bittleston_M02,bittleston_M02_unfiltered,39,unfiltered
SRR9954040,bittleston_M09,bittleston_M09_unfiltered,3,unfiltered
SRR9954042,bittleston_M09,bittleston_M09_filtered,0,filtered
SRR9954045,bittleston_M08,bittleston_M08_unfiltered,63,unfiltered
SRR9954046,bittleston_M08,bittleston_M08_filtered,60,filtered
SRR9954048,bittleston_M01,bittleston_M01_filtered,15,filtered
SRR9954052,bittleston_M10,bittleston_M10_unfiltered,6,unfiltered
SRR9954053,bittleston_M10,bittleston_M10_filtered,6,filtered
SRR9954055,bittleston_M03,bittleston_M03_filtered,57,filtered
SRR9954057,bittleston_M03,bittleston_M03_filtered,54,filtered
SRR9954059,bittleston_M03,bittleston_M03_filtered,63,filtered
SRR9954062,bittleston_M03,bittleston_M03_unfiltered,63,unfiltered
SRR9954064,bittleston_M03,bittleston_M03_unfiltered,15,unfiltered
SRR9954067,bittleston_M06,bittleston_M06_filtered,33,filtered
SRR9954069,bittleston_M06,bittleston_M06_filtered,30,filtered
SRR9954071,bittleston_M06,bittleston_M06_filtered,27,filtered
SRR9954073,bittleston_M06,bittleston_M06_filtered,24,filtered
SRR9954075,bittleston_M03,bittleston_M03_unfiltered,33,unfiltered
SRR9954077,bittleston_M01,bittleston_M01_unfiltered,36,unfiltered
SRR9954079,bittleston_M01,bittleston_M01_unfiltered,39,unfiltered
SRR9954081,bittleston_M01,bittleston_M01_unfiltered,30,unfiltered
SRR9954083,bittleston_M01,bittleston_M01_unfiltered,33,unfiltered
SRR9954086,bittleston_M01,bittleston_M01_filtered,45,filtered
SRR9954088,bittleston_M03,bittleston_M03_filtered,24,filtered
SRR9954091,bittleston_M08,bittleston_M08_unfiltered,12,unfiltered
SRR9954092,bittleston_M08,bittleston_M08_filtered,3,filtered
SRR9954093,bittleston_M08,bittleston_M08_unfiltered,3,unfiltered
SRR9954094,bittleston_M07,bittleston_M07_unfiltered,63,unfiltered
SRR9954095,bittleston_M08,bittleston_M08_filtered,0,filtered
SRR9954096,bittleston_M08,bittleston_M08_filtered,9,filtered
SRR9954097,bittleston_M08,bittleston_M08_unfiltered,9,unfiltered
SRR9954098,bittleston_M08,bittleston_M08_filtered,6,filtered
SRR9954099,bittleston_M08,bittleston_M08_unfiltered,6,unfiltered
SRR9954100,bittleston_M03,bittleston_M03_filtered,21,filtered
SRR9954101,bittleston_M03,bittleston_M03_unfiltered,18,unfiltered
SRR9954102,bittleston_M03,bittleston_M03_filtered,9,filtered
SRR9954103,bittleston_M03,bittleston_M03_unfiltered,6,unfiltered
SRR9954104,bittleston_M03,bittleston_M03_filtered,12,filtered
SRR9954105,bittleston_M03,bittleston_M03_unfiltered,9,unfiltered
SRR9954106,bittleston_M03,bittleston_M03_filtered,15,filtered
SRR9954107,bittleston_M03,bittleston_M03_unfiltered,12,unfiltered
SRR9954108,bittleston_M03,bittleston_M03_filtered,18,filtered
SRR9954109,bittleston_M10,bittleston_M10_unfiltered,3,unfiltered
SRR9954110,bittleston_M10,bittleston_M10_filtered,45,filtered
SRR9954111,bittleston_M10,bittleston_M10_unfiltered,45,unfiltered
SRR9954112,bittleston_M10,bittleston_M10_filtered,42,filtered
SRR9954113,bittleston_M10,bittleston_M10_unfiltered,42,unfiltered
SRR9954114,bittleston_M10,bittleston_M10_filtered,39,filtered
SRR9954115,bittleston_M10,bittleston_M10_unfiltered,39,unfiltered
SRR9954116,bittleston_M10,bittleston_M10_filtered,36,filtered
SRR9954117,bittleston_M10,bittleston_M10_unfiltered,36,unfiltered
SRR9954118,bittleston_M10,bittleston_M10_filtered,48,filtered
SRR9954119,bittleston_M10,bittleston_M10_unfiltered,48,unfiltered
